survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_band,family
0,3,1,26,2,0,8,S,Third,man,1,C,Southampton,no,0,2,3
0,2,1,32,0,0,10,S,Second,man,1,C,Southampton,no,1,3,1
0,3,0,16,5,2,46,S,Third,woman,0,C,Southampton,no,0,1,8
0,2,1,21,0,0,73,S,Second,man,1,C,Southampton,no,1,2,1
0,3,1,26,1,0,14,C,Third,man,1,C,Cherbourg,no,0,2,2
1,3,1,32,0,0,56,S,Third,man,1,C,Southampton,yes,1,3,1
0,3,1,25,0,0,7,S,Third,man,1,F,Southampton,no,1,2,1
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
1,2,1,0,0,2,29,S,Second,child,0,C,Southampton,yes,0,0,3
1,3,0,30,0,0,12,S,Third,woman,0,C,Southampton,yes,1,3,1
0,3,1,22,0,0,9,S,Third,man,1,C,Southampton,no,1,2,1
1,3,1,29,0,0,9,S,Third,man,1,C,Southampton,yes,1,2,1
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
0,1,1,28,0,0,47,S,First,man,1,C,Southampton,no,1,2,1
1,2,0,17,0,0,10,S,Second,woman,0,C,Southampton,yes,1,1,1
1,3,0,33,3,0,15,S,Third,woman,0,C,Southampton,yes,0,3,4
0,3,1,16,1,3,34,S,Third,man,1,C,Southampton,no,0,1,5
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
1,1,0,23,3,2,263,S,First,woman,0,C,Southampton,yes,0,2,6
0,3,1,24,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,29,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,20,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,46,1,0,61,S,First,man,1,E,Southampton,no,0,4,2
0,3,1,26,1,2,20,S,Third,man,1,C,Southampton,no,0,2,4
0,3,1,59,0,0,7,S,Third,man,1,C,Southampton,no,1,5,1
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,71,0,0,34,C,First,man,1,A,Cherbourg,no,1,7,1
1,1,1,23,0,1,63,C,First,man,1,D,Cherbourg,yes,0,2,2
1,2,0,34,0,1,23,S,Second,woman,0,C,Southampton,yes,0,3,2
0,2,1,34,1,0,26,S,Second,man,1,C,Southampton,no,0,3,2
0,3,0,28,0,0,7,S,Third,woman,0,C,Southampton,no,1,2,1
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,21,0,1,77,S,First,man,1,D,Southampton,no,0,2,2
0,3,1,33,0,0,8,S,Third,man,1,C,Southampton,no,1,3,1
0,3,1,37,2,0,7,S,Third,man,1,C,Southampton,no,0,3,3
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,3,0,21,0,0,7,S,Third,woman,0,C,Southampton,yes,1,2,1
1,3,1,28,0,0,7,S,Third,man,1,C,Southampton,yes,1,2,1
0,3,1,38,0,0,7,S,Third,man,1,C,Southampton,no,1,3,1
1,3,0,28,1,0,24,Q,Third,woman,0,C,Queenstown,yes,0,2,2
0,1,1,47,0,0,52,S,First,man,1,C,Southampton,no,1,4,1
0,3,0,14,1,0,14,C,Third,child,0,C,Cherbourg,no,0,1,2
0,3,1,22,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,0,20,1,0,9,S,Third,woman,0,C,Southampton,no,0,2,2
0,3,0,17,0,0,14,C,Third,woman,0,C,Cherbourg,no,1,1,1
0,3,1,21,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,70,0,0,7,Q,Third,man,1,C,Queenstown,no,1,7,1
0,2,1,29,1,0,21,S,Second,man,1,C,Southampton,no,0,2,2
0,1,1,24,0,1,247,C,First,man,1,B,Cherbourg,no,0,2,2
0,3,0,2,4,2,31,S,Third,child,0,C,Southampton,no,0,0,7
0,2,1,21,2,0,73,S,Second,man,1,C,Southampton,no,0,2,3
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,2,1,32,1,0,30,C,Second,man,1,C,Cherbourg,no,0,3,2
1,2,0,32,0,0,13,S,Second,woman,0,E,Southampton,yes,1,3,1
0,1,1,54,0,1,77,S,First,man,1,D,Southampton,no,0,5,2
1,3,1,12,1,0,11,C,Third,child,0,C,Cherbourg,yes,0,1,2
0,3,1,28,0,0,7,Q,Third,man,1,C,Queenstown,no,1,2,1
1,3,1,24,0,0,7,S,Third,man,1,C,Southampton,yes,1,2,1
1,3,0,28,1,1,22,C,Third,woman,0,F,Cherbourg,yes,0,2,3
0,3,1,45,0,0,6,S,Third,man,1,C,Southampton,no,1,4,1
0,3,1,33,0,0,7,C,Third,man,1,C,Cherbourg,no,1,3,1
0,3,1,20,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,0,47,1,0,14,S,Third,woman,0,C,Southampton,no,0,4,2
1,2,0,29,1,0,26,S,Second,woman,0,C,Southampton,yes,0,2,2
0,2,1,25,0,0,13,S,Second,man,1,C,Southampton,no,1,2,1
0,2,1,23,0,0,15,C,Second,man,1,C,Cherbourg,no,1,2,1
1,1,0,19,0,2,26,S,First,woman,0,D,Southampton,yes,0,1,3
0,1,1,37,1,0,53,S,First,man,1,C,Southampton,no,0,3,2
0,3,1,16,0,0,9,S,Third,man,1,C,Southampton,no,1,1,1
0,1,1,24,0,0,79,C,First,man,1,B,Cherbourg,no,1,2,1
0,3,0,28,0,2,15,C,Third,woman,0,C,Cherbourg,no,0,2,3
1,3,0,22,0,0,7,S,Third,woman,0,C,Southampton,yes,1,2,1
1,3,0,24,1,0,15,S,Third,woman,0,C,Southampton,yes,0,2,2
0,3,1,19,0,0,6,Q,Third,man,1,C,Queenstown,no,1,1,1
0,2,1,18,0,0,11,S,Second,man,1,C,Southampton,no,1,1,1
0,2,1,19,1,1,36,S,Second,man,1,C,Southampton,no,0,1,3
1,3,1,27,0,0,7,S,Third,man,1,C,Southampton,yes,1,2,1
0,3,0,9,2,2,34,S,Third,child,0,C,Southampton,no,0,0,5
0,2,1,36,0,2,26,S,Second,man,1,F,Southampton,no,0,3,3
0,2,1,42,0,0,13,S,Second,man,1,C,Southampton,no,1,4,1
0,2,1,51,0,0,12,S,Second,man,1,C,Southampton,no,1,5,1
1,1,0,22,1,0,66,S,First,woman,0,C,Southampton,yes,0,2,2
0,3,1,55,0,0,8,S,Third,man,1,C,Southampton,no,1,5,1
0,3,1,40,0,2,14,S,Third,man,1,C,Southampton,no,0,4,3
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,51,0,1,61,C,First,man,1,C,Cherbourg,no,0,5,2
1,3,0,16,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,1,1
0,3,1,30,0,0,8,S,Third,man,1,C,Southampton,no,1,3,1
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,28,8,2,69,S,Third,man,1,C,Southampton,no,0,2,11
0,3,1,44,0,1,16,S,Third,man,1,C,Southampton,no,0,4,2
1,2,0,40,0,0,15,S,Second,woman,0,C,Southampton,yes,1,4,1
0,3,1,26,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,17,0,0,8,S,Third,man,1,C,Southampton,no,1,1,1
0,3,1,1,4,1,39,S,Third,child,0,C,Southampton,no,0,0,6
1,3,1,9,0,2,20,S,Third,child,0,C,Southampton,yes,0,0,3
1,1,0,28,0,1,55,S,First,woman,0,E,Southampton,yes,0,2,2
0,3,0,45,1,4,27,S,Third,woman,0,C,Southampton,no,0,4,6
0,1,1,28,0,0,25,S,First,man,1,C,Southampton,no,1,2,1
0,3,1,28,0,0,56,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,61,0,0,33,S,First,man,1,B,Southampton,no,1,6,1
0,3,1,4,4,1,29,Q,Third,child,0,C,Queenstown,no,0,0,6
1,3,0,1,1,1,11,S,Third,child,0,C,Southampton,yes,0,0,3
0,3,1,21,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,56,0,0,30,C,First,man,1,A,Cherbourg,no,1,5,1
0,3,1,18,1,1,7,S,Third,man,1,C,Southampton,no,0,1,3
0,3,1,28,3,1,25,S,Third,man,1,C,Southampton,no,0,2,5
0,1,0,50,0,0,28,C,First,woman,0,C,Cherbourg,no,1,5,1
0,2,1,30,0,0,13,S,Second,man,1,C,Southampton,no,1,3,1
0,3,1,36,0,0,0,S,Third,man,1,C,Southampton,no,1,3,1
0,3,0,28,8,2,69,S,Third,woman,0,C,Southampton,no,0,2,11
0,2,1,28,0,0,15,C,Second,man,1,C,Cherbourg,no,1,2,1
0,3,1,9,4,2,31,S,Third,child,0,C,Southampton,no,0,0,7
1,2,1,1,2,1,39,S,Second,child,0,F,Southampton,yes,0,0,4
1,3,0,4,0,2,22,S,Third,child,0,C,Southampton,yes,0,0,3
0,1,1,28,0,0,50,S,First,man,1,A,Southampton,no,1,2,1
1,3,0,28,1,0,15,Q,Third,woman,0,C,Queenstown,yes,0,2,2
1,1,1,45,0,0,26,S,First,man,1,C,Southampton,yes,1,4,1
0,3,1,40,1,1,15,Q,Third,man,1,C,Queenstown,no,0,4,3
0,3,1,36,0,0,7,S,Third,man,1,C,Southampton,no,1,3,1
1,2,0,32,0,0,13,S,Second,woman,0,C,Southampton,yes,1,3,1
0,2,1,19,0,0,13,S,Second,man,1,C,Southampton,no,1,1,1
1,3,0,19,1,0,7,S,Third,woman,0,C,Southampton,yes,0,1,2
1,2,1,3,1,1,26,S,Second,child,0,F,Southampton,yes,0,0,3
1,1,0,44,0,0,27,C,First,woman,0,B,Cherbourg,yes,1,4,1
1,1,0,58,0,0,146,C,First,woman,0,B,Cherbourg,yes,1,5,1
0,3,1,28,0,0,7,Q,Third,man,1,C,Queenstown,no,1,2,1
0,3,1,42,0,1,8,S,Third,man,1,C,Southampton,no,0,4,2
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
0,2,0,24,0,0,13,S,Second,woman,0,C,Southampton,no,1,2,1
0,3,1,28,0,0,9,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,28,8,2,69,S,Third,man,1,C,Southampton,no,0,2,11
0,3,1,34,0,0,6,S,Third,man,1,C,Southampton,no,1,3,1
0,3,1,45,0,0,7,C,Third,man,1,C,Cherbourg,no,1,4,1
1,3,1,18,0,0,8,S,Third,man,1,C,Southampton,yes,1,1,1
0,3,0,2,0,1,10,S,Third,child,0,G,Southampton,no,0,0,2
0,3,1,32,1,0,15,S,Third,man,1,C,Southampton,no,0,3,2
1,3,1,26,0,0,18,C,Third,man,1,C,Cherbourg,yes,1,2,1
1,3,0,16,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,1,1
1,1,1,40,0,0,31,C,First,man,1,A,Cherbourg,yes,1,4,1
0,3,1,24,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,2,0,35,0,0,21,S,Second,woman,0,C,Southampton,yes,1,3,1
0,3,1,22,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,2,1,30,0,0,13,S,Second,man,1,C,Southampton,no,1,3,1
0,3,1,28,1,0,7,Q,Third,man,1,C,Queenstown,no,0,2,2
1,1,0,31,1,0,113,C,First,woman,0,D,Cherbourg,yes,0,3,2
1,3,0,27,0,0,7,S,Third,woman,0,C,Southampton,yes,1,2,1
0,2,1,42,1,0,27,S,Second,man,1,C,Southampton,no,0,4,2
1,1,0,32,0,0,76,C,First,woman,0,D,Cherbourg,yes,1,3,1
0,2,1,30,0,0,10,S,Second,man,1,C,Southampton,no,1,3,1
1,3,1,16,0,0,8,S,Third,man,1,C,Southampton,yes,1,1,1
0,2,1,27,0,0,13,S,Second,man,1,C,Southampton,no,1,2,1
0,3,1,51,0,0,8,S,Third,man,1,C,Southampton,no,1,5,1
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,1,1,38,1,0,90,S,First,man,1,C,Southampton,yes,0,3,2
0,3,1,22,0,0,9,S,Third,man,1,C,Southampton,no,1,2,1
1,2,1,19,0,0,10,S,Second,man,1,C,Southampton,yes,1,1,1
0,3,1,20,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,2,1,18,0,0,13,S,Second,man,1,C,Southampton,no,1,1,1
0,3,0,28,3,1,25,S,Third,woman,0,C,Southampton,no,0,2,5
1,1,0,35,1,0,83,S,First,woman,0,C,Southampton,yes,0,3,2
0,3,1,29,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,2,1,59,0,0,13,S,Second,man,1,C,Southampton,no,1,5,1
1,3,0,5,4,2,31,S,Third,child,0,C,Southampton,yes,0,0,7
0,2,1,24,0,0,10,S,Second,man,1,C,Southampton,no,1,2,1
0,3,0,28,0,0,7,S,Third,woman,0,C,Southampton,no,1,2,1
0,2,1,44,1,0,26,S,Second,man,1,C,Southampton,no,0,4,2
1,2,0,8,0,2,26,S,Second,child,0,C,Southampton,yes,0,0,3
0,2,1,19,0,0,10,S,Second,man,1,C,Southampton,no,1,1,1
0,2,1,33,0,0,12,S,Second,man,1,C,Southampton,no,1,3,1
0,3,0,28,1,0,14,C,Third,woman,0,C,Cherbourg,no,0,2,2
1,3,0,28,1,0,15,Q,Third,woman,0,C,Queenstown,yes,0,2,2
0,2,1,29,0,0,10,S,Second,man,1,C,Southampton,no,1,2,1
0,3,1,22,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,30,0,0,7,C,Third,man,1,C,Cherbourg,no,1,3,1
0,1,1,44,2,0,90,Q,First,man,1,C,Queenstown,no,0,4,3
0,3,0,25,0,0,7,S,Third,woman,0,C,Southampton,no,1,2,1
1,2,0,24,0,2,14,S,Second,woman,0,C,Southampton,yes,0,2,3
1,1,1,37,1,1,52,S,First,man,1,D,Southampton,yes,0,3,3
0,2,1,54,1,0,26,S,Second,man,1,C,Southampton,no,0,5,2
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,0,29,1,1,10,S,Third,woman,0,G,Southampton,no,0,2,3
0,1,1,62,0,0,26,S,First,man,1,C,Southampton,no,1,6,1
0,3,1,30,1,0,16,S,Third,man,1,C,Southampton,no,0,3,2
0,3,0,41,0,2,20,S,Third,woman,0,C,Southampton,no,0,4,3
1,3,0,29,0,2,15,C,Third,woman,0,C,Cherbourg,yes,0,2,3
1,1,0,28,0,0,79,C,First,woman,0,C,Cherbourg,yes,1,2,1
1,1,0,30,0,0,86,S,First,woman,0,B,Southampton,yes,1,3,1
1,1,0,35,0,0,512,C,First,woman,0,C,Cherbourg,yes,1,3,1
1,2,0,50,0,1,26,S,Second,woman,0,C,Southampton,yes,0,5,2
0,3,1,28,0,0,7,Q,Third,man,1,C,Queenstown,no,1,2,1
1,3,1,3,4,2,31,S,Third,child,0,C,Southampton,yes,0,0,7
0,1,1,52,1,1,79,S,First,man,1,E,Southampton,no,0,5,3
0,1,1,40,0,0,0,S,First,man,1,B,Southampton,no,1,4,1
0,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,no,1,2,1
0,2,1,36,0,0,10,S,Second,man,1,C,Southampton,no,1,3,1
0,3,1,16,4,1,39,S,Third,man,1,C,Southampton,no,0,1,6
1,3,1,25,1,0,7,S,Third,man,1,C,Southampton,yes,0,2,2
1,1,0,58,0,1,153,S,First,woman,0,C,Southampton,yes,0,5,2
1,1,0,35,0,0,135,S,First,woman,0,C,Southampton,yes,1,3,1
0,1,1,28,0,0,31,S,First,man,1,C,Southampton,no,1,2,1
1,3,1,25,0,0,0,S,Third,man,1,C,Southampton,yes,1,2,1
1,2,0,41,0,1,19,S,Second,woman,0,C,Southampton,yes,0,4,2
0,1,1,37,0,1,29,C,First,man,1,C,Cherbourg,no,0,3,2
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
1,1,0,63,1,0,77,S,First,woman,0,D,Southampton,yes,0,6,2
0,3,0,45,0,0,7,S,Third,woman,0,C,Southampton,no,1,4,1
0,2,1,28,0,0,0,S,Second,man,1,C,Southampton,no,1,2,1
0,3,1,7,4,1,29,Q,Third,child,0,C,Queenstown,no,0,0,6
1,3,0,35,1,1,20,S,Third,woman,0,C,Southampton,yes,0,3,3
0,3,1,65,0,0,7,Q,Third,man,1,C,Queenstown,no,1,6,1
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,16,0,0,9,S,Third,man,1,C,Southampton,no,1,1,1
1,3,1,19,0,0,8,S,Third,man,1,C,Southampton,yes,1,1,1
0,1,1,28,0,0,26,S,First,man,1,A,Southampton,no,1,2,1
0,3,1,33,0,0,8,C,Third,man,1,C,Cherbourg,no,1,3,1
1,3,1,30,0,0,9,S,Third,man,1,C,Southampton,yes,1,3,1
0,3,1,22,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,2,1,42,0,0,13,S,Second,man,1,C,Southampton,yes,1,4,1
1,3,0,22,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
1,1,0,26,0,0,78,S,First,woman,0,C,Southampton,yes,1,2,1
1,1,0,19,1,0,91,C,First,woman,0,B,Cherbourg,yes,0,1,2
0,2,1,36,0,0,12,C,Second,man,1,D,Cherbourg,no,1,3,1
0,3,0,24,0,0,8,S,Third,woman,0,C,Southampton,no,1,2,1
0,3,1,24,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,28,0,0,27,C,First,man,1,C,Cherbourg,no,1,2,1
0,3,1,23,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
0,1,0,2,1,2,151,S,First,child,0,C,Southampton,no,0,0,4
1,1,1,28,0,0,30,S,First,man,1,C,Southampton,yes,1,2,1
1,1,0,50,0,1,247,C,First,woman,0,B,Cherbourg,yes,0,5,2
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
1,3,1,28,2,0,23,Q,Third,man,1,C,Queenstown,yes,0,2,3
0,3,1,19,0,0,0,S,Third,man,1,C,Southampton,no,1,1,1
1,2,0,28,0,0,12,Q,Second,woman,0,E,Queenstown,yes,1,2,1
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
1,1,1,0,1,2,151,S,First,child,0,C,Southampton,yes,0,0,4
1,1,0,28,0,0,110,C,First,woman,0,C,Cherbourg,yes,1,2,1
1,1,0,17,1,0,108,C,First,woman,0,C,Cherbourg,yes,0,1,2
0,2,1,30,1,0,24,C,Second,man,1,C,Cherbourg,no,0,3,2
1,1,0,30,0,0,56,C,First,woman,0,E,Cherbourg,yes,1,3,1
1,1,0,24,0,0,83,C,First,woman,0,C,Cherbourg,yes,1,2,1
1,1,0,18,2,2,262,C,First,woman,0,B,Cherbourg,yes,0,1,5
0,2,0,26,1,1,26,S,Second,woman,0,C,Southampton,no,0,2,3
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,2,1,43,1,1,26,S,Second,man,1,C,Southampton,no,0,4,3
1,3,0,26,0,0,7,S,Third,woman,0,C,Southampton,yes,1,2,1
1,2,0,24,1,0,26,S,Second,woman,0,C,Southampton,yes,0,2,2
0,2,1,54,0,0,14,S,Second,man,1,C,Southampton,no,1,5,1
1,1,0,31,0,2,164,S,First,woman,0,C,Southampton,yes,0,3,3
1,1,0,40,1,1,134,C,First,woman,0,E,Cherbourg,yes,0,4,3
0,3,1,22,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,27,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,2,0,30,0,0,12,Q,Second,woman,0,C,Queenstown,yes,1,3,1
1,2,0,22,1,1,29,S,Second,woman,0,C,Southampton,yes,0,2,3
0,3,1,28,8,2,69,S,Third,man,1,C,Southampton,no,0,2,11
1,1,0,36,0,0,135,C,First,woman,0,C,Cherbourg,yes,1,3,1
0,3,1,61,0,0,6,S,Third,man,1,C,Southampton,no,1,6,1
1,2,0,36,0,0,13,S,Second,woman,0,D,Southampton,yes,1,3,1
1,3,0,31,1,1,20,S,Third,woman,0,C,Southampton,yes,0,3,3
1,1,0,16,0,1,57,C,First,woman,0,B,Cherbourg,yes,0,1,2
1,3,0,28,2,0,23,Q,Third,woman,0,C,Queenstown,yes,0,2,3
0,1,1,45,0,0,28,S,First,man,1,C,Southampton,no,1,4,1
0,1,1,38,0,1,153,S,First,man,1,C,Southampton,no,0,3,2
0,3,1,16,2,0,18,S,Third,man,1,C,Southampton,no,0,1,3
1,1,0,28,1,0,133,S,First,woman,0,C,Southampton,yes,0,2,2
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,29,1,0,66,S,First,man,1,C,Southampton,no,0,2,2
1,1,0,41,0,0,134,C,First,woman,0,E,Cherbourg,yes,1,4,1
1,3,1,45,0,0,8,S,Third,man,1,C,Southampton,yes,1,4,1
0,1,1,45,0,0,35,S,First,man,1,C,Southampton,no,1,4,1
1,2,1,2,1,1,26,S,Second,child,0,F,Southampton,yes,0,0,3
1,1,0,24,3,2,263,S,First,woman,0,C,Southampton,yes,0,2,6
0,2,1,28,0,0,13,S,Second,man,1,C,Southampton,no,1,2,1
0,2,1,25,0,0,13,S,Second,man,1,C,Southampton,no,1,2,1
0,2,1,36,0,0,13,S,Second,man,1,C,Southampton,no,1,3,1
1,2,0,24,0,0,13,S,Second,woman,0,F,Southampton,yes,1,2,1
1,2,0,40,0,0,13,S,Second,woman,0,C,Southampton,yes,1,4,1
1,3,0,28,1,0,16,S,Third,woman,0,C,Southampton,yes,0,2,2
1,3,1,3,1,1,15,S,Third,child,0,C,Southampton,yes,0,0,3
0,3,1,42,0,0,8,S,Third,man,1,C,Southampton,no,1,4,1
0,3,1,23,0,0,9,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,28,0,0,35,S,First,man,1,C,Southampton,no,1,2,1
0,3,1,15,1,1,7,C,Third,child,0,C,Cherbourg,no,0,1,3
0,3,1,25,1,0,17,S,Third,man,1,C,Southampton,no,0,2,2
0,3,1,28,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
